,ApartmentName,Streetname,NoofBedrooms,NoofBathrooms,Price,Latitude,longitude,Neighborhood
477,115 George Appleton Way,115 George Appleton Way,1,1,"$1,959",43.72562,-79.47885,Downsview-Roding-CFB
478,2504 Lake Shore Blvd W ,2504 Lake Shore Blvd W | Unit: Main floor,2,2,"$2,750",43.61212,-79.49018,Mimico
479,Florentin none Laudat,2 Broadpath Rd,2,2,"$2,500",43.72905,-79.34653,Banbury-Don Mills
480,333 Rimilton Ave ,333 Rimilton Ave | Unit: Main,1,1,"$2,650",43.60704,-79.53125,Alderwood
481,The Residences of College Park,763 Bay St | Unit: 3812,1,1,"$2,300",43.65995,-79.38495,Bay Street Corridor
482,Metropolitan Apartments,2837 Yonge Street,1,1,"$1,950",43.71995,-79.40068,Lawrence Park South
483,Metropolitan Apartments,2837 Yonge Street,1,1,"$1,975",43.71995,-79.40068,Lawrence Park South
484,Metropolitan Apartments,2837 Yonge Street,1,1,"$2,295",43.71995,-79.40068,Lawrence Park South
485,Metropolitan Apartments,2837 Yonge Street,1,1,"$2,300",43.71995,-79.40068,Lawrence Park South
486,Metropolitan Apartments,2837 Yonge Street,1,1,"$2,825",43.71995,-79.40068,Lawrence Park South
487,316 Jedburgh Rd,316 Jedburgh Rd,2,2,"$3,400",43.7327,-79.4084,Lawrence Park North
488,2625 Battleford Rd ,2625 Battleford Rd | Unit: A,2,2,"$2,600",43.58527,-79.74887,Meadowvale
489,30 Denton Ave,30 Denton Ave,1,1,"$1,695",43.69397,-79.28766,Oakridge
490,30 Denton Ave,30 Denton Ave,1,1," $1,795",43.69397,-79.28766,Oakridge
491,30 Denton Ave,30 Denton Ave,1,1,"$1,950",43.69397,-79.28766,Oakridge
492,30 Denton Ave,30 Denton Ave,1,1,"$2,295",43.69397,-79.28766,Oakridge
493,2575 Danforth Avenue,2575 Danforth Avenue,1,1,"$1,610",43.6882,-79.30032,East End-Danforth
494,2575 Danforth Avenue,2575 Danforth Avenue,1,1," $1,810",43.6882,-79.30032,East End-Danforth
495,2575 Danforth Avenue,2575 Danforth Avenue,1,1,"$1,990",43.6882,-79.30032,East End-Danforth
496,2575 Danforth Avenue,2575 Danforth Avenue,1,1,"$2,065",43.6882,-79.30032,East End-Danforth
497,2575 Danforth Avenue,2575 Danforth Avenue,1,1,"$2,340",43.6882,-79.30032,East End-Danforth
498,763 Woodbine Ave,763 Woodbine Ave,1,1,"$1,950",43.68078,-79.31039,East End-Danforth
499,763 Woodbine Ave,763 Woodbine Ave,1,1,"$2,825",43.68078,-79.31039,East End-Danforth
500,763 Woodbine Ave,763 Woodbine Ave,2,2,"$2,950",43.68078,-79.31039,East End-Danforth
501,15 Brookbanks Dr,15 Brookbanks Dr,1,1,"$1,775",43.7519,-79.33305,Parkwoods-Donalda
502,15 Brookbanks Dr,15 Brookbanks Dr,2,2,"$2,000",43.7519,-79.33305,Parkwoods-Donalda
503,15 Brookbanks Dr,15 Brookbanks Dr,2,2,"$2,325",43.7519,-79.33305,Parkwoods-Donalda
504,12 Rockford Rd,12 Rockford Rd,1,1,"$2,015",43.78607,-79.44769,Westminster-Branson
505,Adriana Ametrano,31 Meadowbrook Rd | Unit: 2,1,1,"$2,000",43.71399,-79.44106,Englemount-Lawrence
506,One Park Place,170 Sumach St,1,1,"$2,200",43.66029,-79.3606,Regent Park
507,One Park Place,55 Regent Park Blvd | Unit: 1907,2,2,"$2,750",43.6594,-79.36118,Regent Park
508,One Park Place,170 Sumach St | Unit: 817,2,2,"$2,950",43.66029,-79.3606,Regent Park
509,One Park Place,55 Regent Park Blvd,2,2,"$1,100",43.6594,-79.36118,Regent Park
510,25 Viking Ln ,25 Viking Ln | Unit: 357,2,2,"$2,600",43.63855,-79.53585,Islington-City Centre West
512,2701 Eglinton Avenue West,2701 Eglinton Avenue West,1,1,"$1,524",43.68934,-79.47746,Keelesdale-Eglinton West
513,2701 Eglinton Avenue West,2701 Eglinton Avenue West,1,1,"$2,027",43.68934,-79.47746,Keelesdale-Eglinton West
514,Broadview Lofts,68 Broadview Ave | Unit: 201,1,1,"$2,950",43.65759,-79.34985,South Riverdale
515,465 Woodfield Rd,465 Woodfield Rd,3,3,"$3,600",43.67631,-79.32548,Greenwood-Coxwell
516,545 Sherbourne St,545 Sherbourne St,1,1,"$1,185",43.6688013,-79.3752417,North St James Town
517,Colleen Mary Steffl,189 St Helens Ave | Unit: St. Helens Ave,3,3,"$4,000",43.65505,-79.44255,Dufferin Grove
518,Victory Lofts,478 King St W | Unit: 506,1,1,"$2,600",43.64556,-79.39634,Waterfront Communities-the Island
519,1168 Arena Rd,1168 Arena Rd,2.5,2.5,"$3,000",43.6068975,-79.5908178,Dixie
520,1168 Arena Rd,1168 Arena Rd,2.5,2.5,"$3,000",43.6068975,-79.5908178,Dixie
521,125 Kingsview Blvd,125 Kingsview Blvd,1,1,"$2,500",43.69651,-79.56253,Kingsview Village-the Westway
522,30 Shore Breeze Dr,30 Shore Breeze Dr,1,1,"$2,000",43.62352,-79.47929,Mimico
523,30 Shore Breeze Dr,30 Shore Breeze Dr,1,1,"$2,150",43.62352,-79.47929,Mimico
524,18 Quillberry Cl,18 Quillberry Cl,2.5,2.5,"$2,500",43.69827,-79.84569,Heart Lake
525,214 Brandon Ave,214 Brandon Ave,3,3,"$3,850",43.66884,-79.44774,Dovercourt-Wallace Emerson-Junction
526,The Panache,212 Eglinton Ave E | Unit: ph301,1,1,"$3,300",43.70837,-79.39206,Mt Pleasant West
527,Royal Crest Ⅲ Condos,45 Huntingdale Blvd | Unit: 1103,2,2,"$2,450",43.7964331,-79.3260624,L'Amoreaux
528,77 Allingham Gardens,77 Allingham Gardens,2,2,"$3,500",43.73774,-79.43967,North York
529,4252 Lawrence Ave E,4252 Lawrence Ave E,1,1,"$1,700",43.76983,-79.18166,West Hill
530,66 Isabella Street,66 Isabella Street,1,1,"$1,800",43.66846,-79.38285,Church-Yonge Corridor
531,66 Isabella Street,66 Isabella Street,1,1,"$1,950",43.66846,-79.38285,Church-Yonge Corridor
